program_name,required_subjects,expanded_score_dict,group,score_dict
世新大學 企業管理學系,"['國', '社']","{'國': 12, '社': 12}",管理,"{'國': 12.0, '社': 12.0}"
世新大學 傳播管理學系,['國'],{'國': 11},管理,{'國': 10.988775334554738}
世新大學 公共關係暨廣告學系,"['國', '英']","{'國': 9, '英': 8}",法政,"{'國': 9.32296000162515, '英': 8.1161041038251}"
世新大學 口語傳播暨社群媒體學系,['國社'],"{'國': 11, '社': 11}",大眾傳播,{'國社': 22.0}
世新大學 圖文傳播學系,['國'],{'國': 11},大眾傳播,{'國': 11.0}
世新大學 廣播電視電影學系廣播與聲音設計組,"['國', '英社']","{'國': 11, '英': 8, '社': 8}",建築設計,"{'國': 11.012601080190132, '英社': 15.0}"
世新大學 廣播電視電影學系電影組,"['國', '英社']","{'國': 11, '英': 9, '社': 9}",大眾傳播,"{'國': 11.009265613086908, '英社': 18.0}"
世新大學 廣播電視電影學系電視組,"['國', '英社']","{'國': 11, '英': 7, '社': 7}",大眾傳播,"{'國': 11.0, '英社': 14.0}"
世新大學 數位多媒體設計學系,['國'],{'國': 11},建築設計,{'國': 11.0}
世新大學 新聞學系,['國英'],"{'國': 8, '英': 8}",大眾傳播,{'國英': 16.333333333333332}
世新大學 日本語文學系,['國社'],"{'國': 11, '社': 11}",文史哲,{'國社': 22.0}
世新大學 法律學系,['國'],{'國': 12},法政,{'國': 12.0}
世新大學 社會心理學系,['國社'],"{'國': 9, '社': 9}",社會心理,{'國社': 18.285714285714285}
世新大學 經濟學系,"['數B', '社']","{'數B': 7, '社': 7}",財經,"{'數B': 7.006951022059353, '社': 7.0}"
世新大學 英語暨傳播應用學系,['英'],{'英': -1},大眾傳播,{'英': -0.9552766711228972}
世新大學 行政管理學系,['英社'],"{'英': 10, '社': 10}",管理,{'英社': 21.0}
世新大學 觀光學系旅遊暨休閒事業管理組,['社'],{'社': 9},管理,{'社': 9.394072575875784}
世新大學 觀光學系餐旅經營管理組,['社'],{'社': 11},管理,{'社': 11.007492185854083}
世新大學 財務金融學系,['數B社'],"{'數B': 10, '社': 10}",管理,{'數B社': 19.0}
世新大學 資訊傳播學系,"['國', '英']","{'國': 9, '英': 8}",資訊,"{'國': 8.682752311346288, '英': 7.535045982142029}"
世新大學 資訊管理學系人工智慧暨科技傳播組,['數B'],{'數B': 5},工程,{'數B': 5.42648009605615}
